method,environment,attack,seed,round,eval_return_mean,eval_return_std
FedAvg,Adversary,adaptive,42,175,-16.301030257678583,5.524884703949206
FedAvg,Adversary,adaptive,42,180,-15.844113878470646,5.977885846931864
FedAvg,Adversary,adaptive,42,185,-15.939680969326659,6.099407801111113
FedAvg,Adversary,adaptive,42,190,-15.546770639413882,5.796965521955713
FedAvg,Adversary,adaptive,42,195,-17.034895856766607,5.483273130898557
FedAvg,Adversary,adaptive,42,0,-22.34464678934375,11.396333291569908
FedAvg,Adversary,adaptive,42,5,-20.579958050686685,8.591092710187272
FedAvg,Adversary,adaptive,42,10,-19.193400565293764,6.790494104231469
FedAvg,Adversary,adaptive,42,15,-17.84059262460852,6.505933284756217
FedAvg,Adversary,adaptive,42,20,-16.94817116939809,5.766994351450396
FedAvg,Adversary,adaptive,42,25,-16.945844448192233,5.941002930059076
FedAvg,Adversary,adaptive,42,30,-16.76102617355413,5.501078055792445
FedAvg,Adversary,adaptive,42,35,-17.010876577904924,5.496662013833074
FedAvg,Adversary,adaptive,42,40,-17.118861656446278,5.778386780493032
FedAvg,Adversary,adaptive,42,45,-17.074241350155766,6.063458781922002
FedAvg,Adversary,adaptive,42,50,-16.415989881823915,5.657887578316712
FedAvg,Adversary,adaptive,42,55,-17.58238645085855,5.879089402118609
FedAvg,Adversary,adaptive,42,60,-17.41735110202308,6.1559604147291385
FedAvg,Adversary,adaptive,42,65,-17.82587568419145,7.193035402184684
FedAvg,Adversary,adaptive,42,70,-17.29600533163234,6.672569469913162
FedAvg,Adversary,adaptive,42,75,-18.116888028568898,7.466910525327242
FedAvg,Adversary,adaptive,42,80,-17.23510460874593,7.536509044583546
FedAvg,Adversary,adaptive,42,85,-18.37083312528748,7.245981462015363
FedAvg,Adversary,adaptive,42,90,-18.83797129124269,7.708015335899061
FedAvg,Adversary,adaptive,42,95,-18.537267589611268,7.325872089516926
FedAvg,Adversary,adaptive,42,100,-18.569138392177,6.803693698899655
FedAvg,Adversary,adaptive,42,105,-18.2465816949093,6.682794883192994
FedAvg,Adversary,adaptive,42,110,-18.713721617970428,6.8131789730728185
FedAvg,Adversary,adaptive,42,115,-18.714003190096918,7.042715944314758
FedAvg,Adversary,adaptive,42,120,-19.61882623562187,7.439720354732783
FedAvg,Adversary,adaptive,42,125,-19.125534062338396,7.10363762064703
FedAvg,Adversary,adaptive,42,130,-19.411422241179796,6.161170697882087
FedAvg,Adversary,adaptive,42,135,-19.88316831398092,6.914506224375187
FedAvg,Adversary,adaptive,42,140,-19.417663920566227,6.29667605171957
FedAvg,Adversary,adaptive,42,145,-19.300703204729384,6.005660924516467
FedAvg,Adversary,adaptive,42,150,-19.213570799000326,6.694648758473428
FedAvg,Adversary,adaptive,42,155,-19.200305100126297,6.805427307831399
FedAvg,Adversary,adaptive,42,160,-19.234146429569265,6.42087120236649
FedAvg,Adversary,adaptive,42,165,-19.15913630371745,6.491680384387653
FedAvg,Adversary,adaptive,42,170,-18.543310708666954,6.0354019616143795
FedAvg,Adversary,adaptive,42,175,-19.312049509901676,6.225976768775695
FedAvg,Adversary,adaptive,42,180,-19.06141772925425,6.312909252724007
FedAvg,Adversary,adaptive,42,185,-18.19674275199619,6.372813641927893
FedAvg,Adversary,adaptive,42,190,-19.426875581291043,6.648514471546289
FedAvg,Adversary,adaptive,42,195,-19.479396364978168,6.62275107121378
FedAvg,Adversary,adaptive,456,0,-21.483560633772413,11.59474635766978
FedAvg,Adversary,adaptive,456,5,-19.968646077344154,8.876350100685611
FedAvg,Adversary,adaptive,456,10,-18.864410879391265,7.287418708039942
FedAvg,Adversary,adaptive,456,15,-18.289702297135584,6.217149551679519
FedAvg,Adversary,adaptive,456,20,-17.080009600928143,6.081106253569166
FedAvg,Adversary,adaptive,456,25,-16.758998876727244,5.0396807634092005
FedAvg,Adversary,adaptive,456,30,-16.274927229012643,4.943400551802973
FedAvg,Adversary,adaptive,456,35,-16.345587684752694,4.978682076790546
FedAvg,Adversary,adaptive,456,40,-16.34517417121878,5.031396634406171
FedAvg,Adversary,adaptive,456,45,-15.864081834754552,5.05680501191224
FedAvg,Adversary,adaptive,456,50,-16.971765713573596,6.109087449020373
FedAvg,Adversary,adaptive,456,55,-17.460611347816883,5.999264609286664
FedAvg,Adversary,adaptive,456,60,-17.46304066510602,5.928047721331996
FedAvg,Adversary,adaptive,456,65,-17.38081265797062,5.989783932124528
FedAvg,Adversary,adaptive,456,70,-16.79052633636127,6.319862499332339
FedAvg,Adversary,adaptive,456,75,-17.015048055144295,6.464731165529489
FedAvg,Adversary,adaptive,456,80,-16.781973207346155,6.789071527230192
FedAvg,Adversary,adaptive,456,85,-18.179123425668703,7.491326706736382
