environment,attack,byz_fraction,aggregator,seed,eval_return_mean
simple_adversary_v3,adaptive_strategic,0.5,krum,1024,-25.553869998495728
simple_adversary_v3,adaptive_strategic,0.5,multi_krum,42,-18.582671650780966
simple_adversary_v3,adaptive_strategic,0.5,multi_krum,123,-22.28621065481058
simple_adversary_v3,adaptive_strategic,0.5,multi_krum,456,-22.487360405252893
simple_adversary_v3,adaptive_strategic,0.5,multi_krum,789,-26.09101645973952
simple_adversary_v3,adaptive_strategic,0.5,multi_krum,1024,-19.799125241253467
simple_adversary_v3,adaptive_strategic,0.5,fltrust,42,-19.10831979922941
simple_adversary_v3,adaptive_strategic,0.5,fltrust,123,-20.821875402754667
simple_adversary_v3,adaptive_strategic,0.5,fltrust,456,-17.669809173001816
simple_adversary_v3,adaptive_strategic,0.5,fltrust,789,-20.041003917171672
simple_adversary_v3,adaptive_strategic,0.5,fltrust,1024,-18.60090649264067
simple_adversary_v3,adaptive_strategic,0.5,flame,42,-16.893493000482405
simple_adversary_v3,adaptive_strategic,0.5,flame,123,-20.89540024101698
simple_adversary_v3,adaptive_strategic,0.5,flame,456,-14.139060319806504
simple_adversary_v3,adaptive_strategic,0.5,flame,789,-15.774255692309392
simple_adversary_v3,adaptive_strategic,0.5,flame,1024,-15.79620920113252
simple_adversary_v3,adaptive_strategic,0.5,foolsgold,42,-17.492670285177056
simple_adversary_v3,adaptive_strategic,0.5,foolsgold,123,-21.1207887310218
simple_adversary_v3,adaptive_strategic,0.5,foolsgold,456,-19.206400360711758
simple_adversary_v3,adaptive_strategic,0.5,foolsgold,789,-19.27279521527683
simple_adversary_v3,adaptive_strategic,0.5,foolsgold,1024,-22.48953933707704
simple_adversary_v3,adaptive_strategic,0.5,trust_weighted,42,-16.597108129024623
simple_adversary_v3,adaptive_strategic,0.5,trust_weighted,123,-22.37904537534432
simple_adversary_v3,adaptive_strategic,0.5,trust_weighted,456,-17.564676203191013
simple_adversary_v3,adaptive_strategic,0.5,trust_weighted,789,-17.35145810995489
simple_adversary_v3,adaptive_strategic,0.5,trust_weighted,1024,-19.82145630122504
simple_spread_v3,none,0.0,fedavg,42,-19.86357566129259
simple_spread_v3,none,0.0,fedavg,123,-19.28041314495774
simple_spread_v3,none,0.0,fedavg,456,-19.23557455445039
simple_spread_v3,none,0.0,fedavg,789,-20.836888133970447
simple_spread_v3,none,0.0,fedavg,1024,-19.91552258860963
simple_spread_v3,none,0.0,trimmed_mean,42,-19.19126042787077
simple_spread_v3,none,0.0,trimmed_mean,123,-30.73834908569096
simple_spread_v3,none,0.0,trimmed_mean,456,-19.380450698543555
simple_spread_v3,none,0.0,trimmed_mean,789,-19.25775588853551
simple_spread_v3,none,0.0,trimmed_mean,1024,-19.408207831022622
simple_spread_v3,none,0.0,geometric_median,42,-19.32649399754465
simple_spread_v3,none,0.0,geometric_median,123,-28.659448675447543
simple_spread_v3,none,0.0,geometric_median,456,-19.568675615218183
simple_spread_v3,none,0.0,geometric_median,789,-19.70381976332012
simple_spread_v3,none,0.0,geometric_median,1024,-19.7700752844118
simple_spread_v3,none,0.0,krum,42,-27.100515477649587
simple_spread_v3,none,0.0,krum,123,-27.937778571020612
simple_spread_v3,none,0.0,krum,456,-21.1655113046383
simple_spread_v3,none,0.0,krum,789,-29.22704213902416
simple_spread_v3,none,0.0,krum,1024,-20.55781918213633
simple_spread_v3,none,0.0,multi_krum,42,-20.05106680856408
simple_spread_v3,none,0.0,multi_krum,123,-28.925039941395
simple_spread_v3,none,0.0,multi_krum,456,-20.17777340275316
simple_spread_v3,none,0.0,multi_krum,789,-20.801302918107872
simple_spread_v3,none,0.0,multi_krum,1024,-20.52651957883098
simple_spread_v3,none,0.0,fltrust,42,-28.04042754689078
simple_spread_v3,none,0.0,fltrust,123,-28.369214327438257
simple_spread_v3,none,0.0,fltrust,456,-20.71887287237238
simple_spread_v3,none,0.0,fltrust,789,-20.20786781703213
simple_spread_v3,none,0.0,fltrust,1024,-19.985945113713715
simple_spread_v3,none,0.0,flame,42,-24.48156661147194
simple_spread_v3,none,0.0,flame,123,-19.786220239946765
simple_spread_v3,none,0.0,flame,456,-19.678152878402816
simple_spread_v3,none,0.0,flame,789,-29.099262346738648
simple_spread_v3,none,0.0,flame,1024,-20.01371930840909
simple_spread_v3,none,0.0,foolsgold,42,-19.97004702317868
simple_spread_v3,none,0.0,foolsgold,123,-29.507014854741648
simple_spread_v3,none,0.0,foolsgold,456,-28.980874665302863
simple_spread_v3,none,0.0,foolsgold,789,-19.89246367112256
simple_spread_v3,none,0.0,foolsgold,1024,-19.968668532572693
simple_spread_v3,none,0.0,trust_weighted,42,-19.495414228831148
simple_spread_v3,none,0.0,trust_weighted,123,-29.12038947701445
simple_spread_v3,none,0.0,trust_weighted,456,-26.95368052567273
simple_spread_v3,none,0.0,trust_weighted,789,-20.23357472135927
simple_spread_v3,none,0.0,trust_weighted,1024,-19.895829459734895
simple_spread_v3,sign_flip,0.17,fedavg,42,-30.3670986397965
simple_spread_v3,sign_flip,0.17,fedavg,123,-29.98284346136691
simple_spread_v3,sign_flip,0.17,fedavg,456,-19.98257852397247
simple_spread_v3,sign_flip,0.17,fedavg,789,-28.285607480433548
simple_spread_v3,sign_flip,0.17,fedavg,1024,-27.35468181467887
simple_spread_v3,sign_flip,0.17,trimmed_mean,42,-19.9989446570912
simple_spread_v3,sign_flip,0.17,trimmed_mean,123,-28.46403630752036
simple_spread_v3,sign_flip,0.17,trimmed_mean,456,-27.041712983633737
simple_spread_v3,sign_flip,0.17,trimmed_mean,789,-27.65352391934759
simple_spread_v3,sign_flip,0.17,trimmed_mean,1024,-26.732212401477515
simple_spread_v3,sign_flip,0.17,geometric_median,42,-20.02487743004915
simple_spread_v3,sign_flip,0.17,geometric_median,123,-27.061730818368503
simple_spread_v3,sign_flip,0.17,geometric_median,456,-20.970950586890392
simple_spread_v3,sign_flip,0.17,geometric_median,789,-27.74058132876936
simple_spread_v3,sign_flip,0.17,geometric_median,1024,-27.65309579360241
simple_spread_v3,sign_flip,0.17,krum,42,-27.97598120090479
simple_spread_v3,sign_flip,0.17,krum,123,-26.989365743437872
simple_spread_v3,sign_flip,0.17,krum,456,-20.140899504437915
simple_spread_v3,sign_flip,0.17,krum,789,-29.72117740685428
simple_spread_v3,sign_flip,0.17,krum,1024,-28.128709022059525
simple_spread_v3,sign_flip,0.17,multi_krum,42,-19.80508746562815
simple_spread_v3,sign_flip,0.17,multi_krum,123,-20.30801856179049
simple_spread_v3,sign_flip,0.17,multi_krum,456,-27.89917096269119
simple_spread_v3,sign_flip,0.17,multi_krum,789,-28.4516889204238
simple_spread_v3,sign_flip,0.17,multi_krum,1024,-19.747408323177147
simple_spread_v3,sign_flip,0.17,fltrust,42,-22.69516211403732
simple_spread_v3,sign_flip,0.17,fltrust,123,-26.24971373617707
simple_spread_v3,sign_flip,0.17,fltrust,456,-21.081952840086657
simple_spread_v3,sign_flip,0.17,fltrust,789,-22.219647541929795
simple_spread_v3,sign_flip,0.17,fltrust,1024,-24.89087096375894
simple_spread_v3,sign_flip,0.17,flame,42,-27.40473644234956
simple_spread_v3,sign_flip,0.17,flame,123,-28.08598000790711
simple_spread_v3,sign_flip,0.17,flame,456,-19.71490200563428
simple_spread_v3,sign_flip,0.17,flame,789,-28.66816235915094
simple_spread_v3,sign_flip,0.17,flame,1024,-20.4750224198693
simple_spread_v3,sign_flip,0.17,foolsgold,42,-24.073243304734383
simple_spread_v3,sign_flip,0.17,foolsgold,123,-26.454106310859995
simple_spread_v3,sign_flip,0.17,foolsgold,456,-25.646389830963276
simple_spread_v3,sign_flip,0.17,foolsgold,789,-27.844630183038497
simple_spread_v3,sign_flip,0.17,foolsgold,1024,-23.81280295015894
simple_spread_v3,sign_flip,0.17,trust_weighted,42,-19.158428658945653
simple_spread_v3,sign_flip,0.17,trust_weighted,123,-30.13384732874382
simple_spread_v3,sign_flip,0.17,trust_weighted,456,-28.088586622663914
simple_spread_v3,sign_flip,0.17,trust_weighted,789,-29.27590706417483
simple_spread_v3,sign_flip,0.17,trust_weighted,1024,-27.55528758430485
simple_spread_v3,sign_flip,0.5,fedavg,42,-29.253258229997552
simple_spread_v3,sign_flip,0.5,fedavg,123,-24.32666455544219
simple_spread_v3,sign_flip,0.5,fedavg,456,-23.757355040427875
